City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
238,chipinge,54.84,77,98,9.17,1727848947,ZW,32.6236,-20.1883
239,port alfred,53.19,93,88,1.41,1727848947,ZA,26.891,-33.5906
240,peniche,68.34,99,97,5.99,1727848948,PT,-9.3811,39.3558
241,nokia,35.58,93,0,1.14,1727848818,FI,23.5,61.4667
242,malpica,67.23,98,100,14.81,1727848948,ES,-8.8105,43.3228
243,zhangjiakou,55.94,32,9,6.33,1727848948,CN,114.8794,40.81
244,enewetak,84.43,78,55,16.84,1727848948,MH,162.3373,11.3474
245,chernyshevskiy,34.66,79,100,17.18,1727848948,RU,112.4714,63.0128
246,platteville,51.78,50,0,0.0,1727848949,US,-90.4785,42.7342
247,puerto baquerizo moreno,68.56,88,98,10.51,1727848949,EC,-89.6,-0.9
248,urengoy,39.85,72,87,16.69,1727848949,RU,78.3667,65.9667
249,banjar,89.28,56,8,6.71,1727848949,ID,114.9675,-8.19
250,tarnogskiy gorodok,46.62,60,100,6.67,1727848949,RU,43.5761,60.4997
251,klyuchi,57.81,53,69,15.05,1727848950,RU,79.1667,52.2667
252,carnarvon,70.65,69,52,25.99,1727848950,AU,113.6333,-24.8667
253,daly city,69.51,54,0,0.0,1727848652,US,-122.4619,37.7058
254,berezovyy,51.06,42,39,9.86,1727848951,RU,135.7,51.6667
255,birao,71.56,93,100,4.23,1727848951,CF,22.7882,10.2849
256,gorom-gorom,82.94,67,95,8.81,1727848352,BF,-0.2361,14.4439
257,callaway,72.54,86,26,1.99,1727848353,US,-85.5699,30.153
258,kapenguria,65.55,65,79,1.66,1727848354,KE,35.0895,1.2511
259,shar'ya,49.33,52,26,7.85,1727848355,RU,45.5144,58.3686
260,colonia,47.34,90,0,4.61,1727848130,DE,6.95,50.9333
261,illizi,79.56,31,0,6.17,1727848357,DZ,8.4667,26.4833
262,vorgashor,37.13,87,98,18.05,1727848359,RU,63.95,67.5833
263,dubbo,75.33,29,20,12.66,1727848360,AU,148.6167,-32.25
264,mahina,80.37,74,20,4.61,1727848361,PF,-149.489,-17.5065
265,saudarkrokur,43.86,94,100,15.32,1727848362,IS,-19.6394,65.7461
266,tervel,52.7,75,8,3.58,1727848363,BG,27.4,43.75
267,keflavik,45.03,93,100,10.36,1727848365,IS,-22.5624,64.0049
268,yarmouth,56.98,89,100,4.0,1727848214,US,-70.2286,41.7057
269,bhamo,84.96,67,100,4.21,1727848368,MM,97.2333,24.2667
270,iskateley,40.35,73,100,20.98,1727848369,RU,53.1512,67.6803
271,afaahiti,77.43,80,82,4.59,1727848370,PF,-149.2833,-17.75
272,qarazhal,69.55,10,9,1.97,1727848371,KZ,70.7903,48.0078
273,east london,56.34,88,75,5.75,1727848372,ZA,27.9116,-33.0153
274,dickinson,79.99,72,0,6.91,1727848374,US,-95.0513,29.4608
275,yanam,94.66,52,57,6.69,1727848375,IN,82.2167,16.7333
276,altai,53.02,24,0,10.76,1727848376,MN,96.2583,46.3722
277,stung treng,86.94,76,89,2.8,1727848377,KH,105.9683,13.5259
278,raja,71.56,92,100,2.1,1727848378,SS,25.678,8.4596
